trial_id,image_id,word_index,word,pos_tag,condition,concreteness,clip_importance,human_importance,clip_rank,human_rank,image_grp1_importance,image_grp2_importance,image_grp1_rank,image_grp2_rank
matched_abs_COCO_val2014_000000057495.jpg,val2014/COCO_val2014_000000057495.jpg,0,some,DT,abs,2.48,0.0,0.4507042253521127,0.01818181818181818,0.09090909090909091,0.47368421052631576,0.4,0.07272727272727272,0.09090909090909091
matched_abs_COCO_val2014_000000057495.jpg,val2014/COCO_val2014_000000057495.jpg,1,kind,NN,abs,2.07,0.0,0.5774647887323944,0.03636363636363636,0.10909090909090909,0.5789473684210527,0.6,0.10909090909090909,0.14545454545454545
matched_abs_COCO_val2014_000000057495.jpg,val2014/COCO_val2014_000000057495.jpg,2,of,IN,abs,,0.0,0.2112676056338028,0.05454545454545454,0.05454545454545454,0.2631578947368421,0.06666666666666667,0.05454545454545454,0.03636363636363636
matched_abs_COCO_val2014_000000057495.jpg,val2014/COCO_val2014_000000057495.jpg,3,nasty,JJ,abs,2.37,0.20849609375,0.8309859154929577,0.16363636363636364,0.14545454545454545,0.8947368421052632,0.6,0.14545454545454545,0.10909090909090909
matched_abs_COCO_val2014_000000057495.jpg,val2014/COCO_val2014_000000057495.jpg,4,bathroom,NN,abs,4.52,1.0,1.0,0.18181818181818182,0.18181818181818182,1.0,1.0,0.18181818181818182,0.18181818181818182
matched_abs_COCO_val2014_000000057495.jpg,val2014/COCO_val2014_000000057495.jpg,5,that,IN,abs,,0.017974853515625,0.43661971830985913,0.12727272727272726,0.07272727272727272,0.49122807017543857,0.26666666666666666,0.09090909090909091,0.07272727272727272
matched_abs_COCO_val2014_000000057495.jpg,val2014/COCO_val2014_000000057495.jpg,6,I,PRP,abs,,0.0,0.09859154929577464,0.09090909090909091,0.03636363636363636,0.14035087719298245,0.0,0.03636363636363636,0.01818181818181818
matched_abs_COCO_val2014_000000057495.jpg,val2014/COCO_val2014_000000057495.jpg,7,would,MD,abs,,0.0,0.9014084507042254,0.07272727272727272,0.16363636363636364,0.9824561403508771,0.6,0.16363636363636364,0.12727272727272726
matched_abs_COCO_val2014_000000057495.jpg,val2014/COCO_val2014_000000057495.jpg,8,never,RB,abs,1.59,0.0,0.7323943661971831,0.10909090909090909,0.12727272727272726,0.7368421052631579,0.7333333333333333,0.12727272727272726,0.16363636363636364
matched_abs_COCO_val2014_000000057495.jpg,val2014/COCO_val2014_000000057495.jpg,9,use,VB,abs,2.78,0.05670166015625,0.0,0.14545454545454545,0.01818181818181818,0.0,0.06666666666666667,0.01818181818181818,0.05454545454545454
matched_con_COCO_val2014_000000057495.jpg,val2014/COCO_val2014_000000057495.jpg,0,A,DT,con,,0.09454345703125,0.0,0.10606060606060606,0.015151515151515152,0.0,0.0,0.015151515151515152,0.015151515151515152
matched_con_COCO_val2014_000000057495.jpg,val2014/COCO_val2014_000000057495.jpg,1,standing,VBG,con,4.04,0.0,1.0,0.015151515151515152,0.16666666666666666,1.0,1.0,0.16666666666666666,0.16666666666666666
matched_con_COCO_val2014_000000057495.jpg,val2014/COCO_val2014_000000057495.jpg,2,toilet,NN,con,4.97,1.0,0.6623376623376623,0.16666666666666666,0.10606060606060606,0.6496350364963503,0.7647058823529411,0.10606060606060606,0.10606060606060606
matched_con_COCO_val2014_000000057495.jpg,val2014/COCO_val2014_000000057495.jpg,3,sitting,VBG,con,3.76,0.0030536651611328125,0.8506493506493507,0.045454545454545456,0.15151515151515152,0.8613138686131386,0.7647058823529411,0.15151515151515152,0.12121212121212122
matched_con_COCO_val2014_000000057495.jpg,val2014/COCO_val2014_000000057495.jpg,4,inside,IN,con,3.67,0.219482421875,0.8376623376623377,0.12121212121212122,0.13636363636363635,0.8540145985401459,0.7058823529411765,0.13636363636363635,0.09090909090909091
matched_con_COCO_val2014_000000057495.jpg,val2014/COCO_val2014_000000057495.jpg,5,of,IN,con,,0.050750732421875,0.23376623376623376,0.07575757575757576,0.06060606060606061,0.24087591240875914,0.17647058823529413,0.06060606060606061,0.030303030303030304
matched_con_COCO_val2014_000000057495.jpg,val2014/COCO_val2014_000000057495.jpg,6,a,DT,con,,0.05584716796875,0.18181818181818182,0.09090909090909091,0.045454545454545456,0.18248175182481752,0.17647058823529413,0.045454545454545456,0.045454545454545456
